id,nombre ,equipo_id,goles,salario,posicion,nacionalidad,edad,imagen
,Ante Budimir,15,0,1.5,Delantero,Croacia,34,ante_budimir.jpeg
,Aimar Oroz,15,0,0.5,Medio,España,23,aimar_oroz.jpg
,Victor Muñoz,15,0,1,Delantero,España,22,victor_muñoz.jpg
,Jon Moncayola,15,0,0.6,Medio,España,27,unknow.webp
,Lucas Torró,15,0,1,Medio,España,31,lucas_torro.jpg
,Abel Bretones,15,0,0.3,Defensa,España,25,unknow.webp
,Valentin Rosier,15,0,1.7,Defensa,Francia,29,unknow.webp
,Juan Cruz,15,0,0.4,Defensa,España,33,juan_cruz.jpeg
,Alejandro Catena,15,0,1,Defensa,España,30,unknow.webp
,Flavien Boyomo,15,0,20,Defensa,Camerún,23,unknow.webp
,Sergio Herrera,15,0,0.48,Portero,España,32,sergio_herrero.jpeg
,kylian mbappe,1,0,32,delantero,Francia ,26,
,vinicius junior,1,0,20,delantero,Brasil,25,
,rodrygo,1,0,12,delantero,Brasil,24,
,endrick,1,0,4,delantero,Brasil,19,
,jude bellingham,1,0,20,centrocampista,Inglaterra ,22,
,federico valverde,1,0,16,centrocampista,Uruguay ,27,
,aurelien tchouameni,1,0,12,centrocampista,Francia ,25,
,eduardo camavinga,1,0,12,centrocampista,Francia ,22,
,dani ceballos,1,0,10,centrocampista,España ,29,
,franco mastantuono,1,0,4,centrocampista,Argentina,18,
,brahim diaz,1,0,7,centrocampista,España ,26,
,arda guler,1,0,5,centrocampista,Turquia,20,
,david alaba,1,0,22,defensa,Austria ,33,
,antonio rudiger,1,0,14,defensa,Alemania ,32,
,eder militao,1,0,14,defensa,Brasil ,27,
,ferland mendy,1,0,10,defensa,Francia ,30,
,dani carvajal,1,0,10,defensa,España ,31,
,fran garcia,1,0,5,defensa,España ,26,
,thibaut courtois,1,0,15,portero,Belgica ,33,
,andriy lunin,1,0,4,portero,Ucrania ,26,
,Javi Puado,6,0,0.8,Delantero,España,27,
,Tyrhys Dolan,6,0,0.3,Delantero,Reino Unido,23,
,Roberto Fernández,6,0,1.25,Delantero,España,23,
,Pere Milla,6,0,0.52,Centrocampista,España,32,
,Marko Dmitrović,6,0,1.2,Portero,Serbia,33,
,Charles Pickel,6,0,1.46,Centrocampista,Rep.Congo,28,
